label,n,pct_above,median_ratio
Colorectal,528,19.696969696969695,0.47740592895807454
Melanoma,433,28.406466512702078,0.5583876162272967
Melanoma (BRAF),46,2.1739130434782608,0.17718832608162915
NSCLC,557,1.615798922800718,0.2366091876435728
