cohort,n,n_below,pct_above,logrank_p,cox_HR,cox_p
COADREAD,524,420,19.84732824427481,0.3054064583988028,0.7660571969272253,0.2631884511766725
LUAD,497,488,1.8108651911468814,0.8556273496597357,0.7080211349091132,0.17266403580289957
SKCM,419,299,28.639618138424822,0.5165326652461925,0.8895956925818814,0.4045222439141286
TCGA_pooled,1440,1207,16.180555555555557,0.5468326072043275,0.8179947095895921,0.042101327904731534
